attraction_id,attraction_name,ratings,no_of_ratings,attraction_type,description,Latitude,Longitude,city,keywords,images_url
193,Southern Cemetery of Al Basatin,4.2,1176,Historical landmark,cemetry necropolis,30.0210257,31.264828,cairo,Historical landmark cemetry necropolis,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJnOevFihW5EcIxWKSOXk9uSYDJNQsKgv3Lhbiht-9c20O_NjhtiM-xuFZoQ&s
194,Firdous Mosque,4.8,46,Mosque,Religious Sites,30.0444196,31.2357116,cairo,Mosque Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeV9hVAvZZMkJ3jJvwJ8UewlFG6uTUV36Nq2pgo2i7UbjhzM75d__JjW9OuVs&s
195,The Hanging Church,4.6,5182,Church,Architectural Buildings  Religious Sites Christinaity,30.0052663,31.2301826,cairo,Church Architectural Buildings  Religious Sites Christinaity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFX66z0mRbk-yfBWbRcJCYaoWAaCrOklnBW4fv91_zn1WMAoMBgBUvw-RmhA&s
196,Museum Of Modern Egyptian Art,4.2,247,Tourist attraction,Art Museums,30.043688,31.2246792,cairo,Tourist attraction Art Museums,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1aLHw5bg9gQSxXSeZQzAReYpLH-Ph0SbDtKaPG7MjG8chLb0OY_k8ni7uvg&s
197,El Sayed Ahmad Albadawy Mosque,4.5,2779,Mosque,Religious Sites,30.0444196,31.2357116,cairo,Mosque Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAESaJBhXktX2nhBcItmvi-SRQLiAp5IZed30pIpghzc7pHinVw0rGvibaow&s
198,Sayidi Ibrahim El Dessouky Mosque,4.5,3274,Mosque,Religious Sites,30.0444196,31.2357116,cairo,Mosque Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8cebI0RK5YrDljBeG4r_v5iA3KTsQnONUfTxjQFR1QyDVplevgkX77Fu8hFs&s
199,El Nabi Daniel Mosque,4.5,1699,Mosque,Religious Sites,31.194923,29.9023409,alexandria,Mosque Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGjWPz-HPfTGcAqMifpClPwJFzbrJMDWVBxwoskV9Ud6wiF8sp-D33UgiTs6w&s
200,Abbasi Mosque,4.6,216,Mosque,Religious Sites,30.0444196,31.2357116,cairo,Mosque Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRTmEK4SPJDmGu156db56tXSOmcX4u9iunXkEOibPjsgLEnhsWRE8Ta1Jj6g&s
201,Mosque of Sidi Abdullah Ibn al-Harith,4.4,53,Mosque,Religious Sites,30.0444196,31.2357116,cairo,Mosque Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTDPPdRxx2vX0yIcaAKVFjASXIXGSH4VogSG1OJI7jbVuseZdh6HdlKfnGNl8&s
202,Al-Motawally Al-Trini Al-Kabeer mosque,4.7,124,Mosque,Religious Sites,30.0444196,31.2357116,cairo,Mosque Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLdB4INXE2qFZZj8-6F9KZiveqAx4beTv9eWLLzeT8gSAkMLWmrEo5kakJcyQ&s
